Date,Open,High,Low,Close,Adj Close,Volume,highorlow,isIncreseing
03-02-2017,8735.150391,8748.25,8707.75,8740.950195,8740.950195,191000,-15.59961,0
06-02-2017,8785.450195,8814.099609,8770.200195,8801.049805,8801.049805,194400,37.40039,1
07-02-2017,8805.700195,8809.299805,8741.049805,8768.299805,8768.299805,226300,5.5,1
08-02-2017,8774.549805,8791.25,8715,8769.049805,8769.049805,218700,17.149414,1
09-02-2017,8795.549805,8821.400391,8724.099609,8778.400391,8778.400391,187500,18.799804,1
10-02-2017,8812.349609,8822.099609,8771.200195,8793.549805,8793.549805,225900,14.75,1
13-02-2017,8819.799805,8826.900391,8754.200195,8805.049805,8805.049805,204900,27.600586,1
14-02-2017,8819.900391,8820.450195,8772.5,8792.299805,8792.299805,188300,54.25,1
15-02-2017,8778.950195,8807.900391,8712.849609,8724.700195,8724.700195,216100,-39,0
16-02-2017,8739,8783.950195,8719.599609,8778,8778,184600,62,1
17-02-2017,8883.700195,8896.450195,8804.25,8821.700195,8821.700195,298300,-60.65039,0
20-02-2017,8818.549805,8886.25,8809.799805,8879.200195,8879.200195,167800,-17.099609,0
21-02-2017,8890.75,8920.799805,8860.950195,8907.849609,8907.849609,175700,4.699218,1
22-02-2017,8931.599609,8960.75,8905.25,8926.900391,8926.900391,247100,16.900391,1
23-02-2017,8956.400391,8982.150391,8927.549805,8939.5,8939.5,377200,47,1
27-02-2017,8943.700195,8951.799805,8888.650391,8896.700195,8896.700195,189900,19.350586,1
28-02-2017,8898.950195,8914.75,8867.599609,8879.599609,8879.599609,293600,-41.399414,0
01-03-2017,8904.400391,8960.799805,8898.599609,8945.799805,8945.799805,205900,83.099609,1
02-03-2017,8982.849609,8992.5,8879.799805,8899.75,8899.75,218800,-14.049805,0
03-03-2017,8883.5,8907.099609,8860.099609,8897.549805,8897.549805,202600,-48.350586,0
06-03-2017,8915.099609,8967.799805,8914,8963.450195,8963.450195,174800,30.849609,1
07-03-2017,8977.75,8977.849609,8932.799805,8946.900391,8946.900391,173400,26.40039,1
08-03-2017,8950.700195,8957.049805,8891.950195,8924.299805,8924.299805,177800,-12.5,0
09-03-2017,8914.5,8945.799805,8899.5,8927,8927,171500,19.15039,1
10-03-2017,8953.700195,8975.700195,8903.950195,8934.549805,8934.549805,152700,4.650391,1
14-03-2017,9091.650391,9122.75,9060.5,9087,9087,270300,2.049804,1
15-03-2017,9086.849609,9106.549805,9075.5,9084.799805,9084.799805,240600,-24.049804,0
16-03-2017,9129.650391,9158.450195,9128.549805,9153.700195,9153.700195,208600,47.75,1
17-03-2017,9207.799805,9218.400391,9147.599609,9160.049805,9160.049805,286700,40.100586,1
20-03-2017,9166.950195,9167.599609,9116.299805,9126.849609,9126.849609,332100,12.450195,1
21-03-2017,9133.950195,9147.75,9087.200195,9121.5,9121.5,247700,16.75,1
22-03-2017,9047.200195,9072.900391,9019.299805,9030.450195,9030.450195,232300,-37.549805,0
23-03-2017,9048.75,9099.049805,9048.599609,9086.299805,9086.299805,191800,-4,0
24-03-2017,9104,9133.549805,9089.400391,9108,9108,203700,48.25,1
27-03-2017,9093.450195,9094.849609,9024.650391,9045.200195,9045.200195,202700,-19.299805,0
